date,favorite,spread,underdog,total,away_money_line,home_money_line,week,year
11/9/23 20:15,at Bears,-3,Panthers,38,149,-183,10,2023
11/12/23 9:30,Colts,-1.5,at Patriots,42,-122,100,10,2023
11/12/23 13:00,Saints,-3,at Vikings,40.5,-155,126,10,2023
11/12/23 13:00,at Ravens,-5.5,Browns,38.5,205,-250,10,2023
11/12/23 13:00,at Steelers,-3,Packers,38.5,141,-175,10,2023
11/12/23 13:00,at Bengals,-5.5,Texans,45.5,208,-258,10,2023
11/12/23 13:00,49ers,-3,at Jaguars,44.5,-175,142,10,2023
11/12/23 13:00,at Buccaneers,-2.5,Titans,39.5,122,-147,10,2023
11/12/23 16:05,Falcons,-2,at Cardinals,43.5,-132,107,10,2023
11/12/23 16:05,Lions,-2,at Chargers,48,-138,114,10,2023
11/12/23 16:25,at Cowboys,-17.5,Giants,38.5,1050,-2183,10,2023
11/12/23 16:25,at Seahawks,-5.5,Commanders,44,211,-263,10,2023
11/12/23 20:20,Jets,-0.5,at Raiders,35.5,-112,-108,10,2023
11/13/23 20:15,at Bills,-7.5,Broncos,47.5,295,-379,10,2023
11/16/23 20:15,at Ravens,-4,Bengals,46.5,166,-203,11,2023
11/19/23 13:00,Cowboys,-11,at Panthers,43.5,-649,456,11,2023
11/19/23 13:00,Chargers,-3,at Packers,44,-157,130,11,2023
11/19/23 13:00,at Dolphins,-14,Raiders,44,587,-927,11,2023
11/19/23 13:00,at Texans,-5.5,Cardinals,48,203,-248,11,2023
11/19/23 13:00,at Lions,-8,Bears,48,311,-400,11,2023
11/19/23 13:00,at Commanders,-7.5,Giants,38.5,303,-388,11,2023
11/19/23 13:00,at Browns,-2.5,Steelers,34,115,-138,11,2023
11/19/23 13:00,at Jaguars,-6.5,Titans,40,242,-307,11,2023
11/19/23 16:05,at 49ers,-13.5,Buccaneers,42,561,-841,11,2023
11/19/23 16:25,at Rams,-2,Seahawks,46,112,-136,11,2023
11/19/23 16:25,at Bills,-8,Jets,39,311,-398,11,2023
11/19/23 20:20,at Broncos,-2.5,Vikings,42.5,123,-148,11,2023
11/20/23 20:15,at Chiefs,-3,Eagles,46,122,-147,11,2023
11/23/23 12:30,at Lions,-8.5,Packers,47,315,-407,12,2023
11/23/23 16:30,at Cowboys,-13,Commanders,47.5,518,-749,12,2023
11/23/23 20:20,49ers,-7,at Seahawks,43,-335,257,12,2023
11/24/23 15:00,Dolphins,-9.5,at Jets,40,-481,357,12,2023
11/26/23 13:00,Patriots,-4,at Giants,35.5,-213,174,12,2023
11/26/23 13:00,Saints,-2,at Falcons,42,-133,109,12,2023
11/26/23 13:00,Steelers,-2,at Bengals,36,-136,113,12,2023
11/26/23 13:00,at Colts,-2.5,Buccaneers,44.5,122,-151,12,2023
11/26/23 13:00,Jaguars,-1,at Texans,48,-118,-104,12,2023
